127.0.0.1 - - [09/Mar/2025:14:37:57 +0000] "GET /api/status HTTP/1.1" 404 149 "-" "curl/8.11.0"
127.0.0.1 - - [09/Mar/2025:14:38:44 +0000] "GET /api/invalid-route HTTP/1.1" 404 156 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Mar/2025:14:39:25 +0000] "GET /api/invalid-route HTTP/1.1" 404 156 "-" "PostmanRuntime/7.43.0"
127.0.0.1 - - [09/Mar/2025:14:40:14 +0000] "GET /api/invalid-route HTTP/1.1" 404 156 "-" "PostmanRuntime/7.43.0"
127.0.0.1 - - [09/Mar/2025:14:40:20 +0000] "GET /api/invalid-route HTTP/1.1" 404 156 "-" "PostmanRuntime/7.43.0"
127.0.0.1 - - [09/Mar/2025:14:53:11 +0000] "GET /api/api/hero-images HTTP/1.1" 404 158 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Mar/2025:14:53:11 +0000] "GET /api/products HTTP/1.1" 200 3939 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Mar/2025:14:53:12 +0000] "GET /api/api/categories HTTP/1.1" 404 157 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Mar/2025:14:53:12 +0000] "GET /api/api/products?sortBy=createdAt&order=desc&page=1&limit=12 HTTP/1.1" 404 155 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Mar/2025:14:53:12 +0000] "GET /api/api/products HTTP/1.1" 404 155 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Mar/2025:14:53:12 +0000] "GET /api/api/articles?limit=3&sortBy=createdAt&order=desc HTTP/1.1" 404 155 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Mar/2025:14:53:12 +0000] "GET /api/api/reviews HTTP/1.1" 404 154 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Mar/2025:14:53:12 +0000] "GET /api/api/categories HTTP/1.1" 404 157 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Mar/2025:14:53:12 +0000] "GET /api/api/products?sortBy=createdAt&order=desc&page=1&limit=12 HTTP/1.1" 404 155 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Mar/2025:14:53:12 +0000] "GET /api/api/products HTTP/1.1" 404 155 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Mar/2025:14:53:12 +0000] "GET /api/api/articles?limit=3&sortBy=createdAt&order=desc HTTP/1.1" 404 155 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Mar/2025:14:53:12 +0000] "GET /api/api/reviews HTTP/1.1" 404 154 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Mar/2025:14:53:12 +0000] "GET /api/api/products?sortBy=createdAt&order=desc&page=1&limit=15 HTTP/1.1" 404 155 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Mar/2025:14:59:30 +0000] "GET /api/api/hero-images HTTP/1.1" 404 158 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Mar/2025:14:59:30 +0000] "GET /api/products HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Mar/2025:14:59:30 +0000] "GET /api/api/categories HTTP/1.1" 404 157 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Mar/2025:14:59:30 +0000] "GET /api/api/products?sortBy=createdAt&order=desc&page=1&limit=12 HTTP/1.1" 404 155 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Mar/2025:14:59:30 +0000] "GET /api/api/products HTTP/1.1" 404 155 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Mar/2025:14:59:30 +0000] "GET /api/api/articles?limit=3&sortBy=createdAt&order=desc HTTP/1.1" 404 155 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Mar/2025:14:59:30 +0000] "GET /api/api/reviews HTTP/1.1" 404 154 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Mar/2025:14:59:30 +0000] "GET /api/api/categories HTTP/1.1" 404 157 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Mar/2025:14:59:30 +0000] "GET /api/api/products?sortBy=createdAt&order=desc&page=1&limit=12 HTTP/1.1" 404 155 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Mar/2025:14:59:30 +0000] "GET /api/api/products HTTP/1.1" 404 155 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Mar/2025:14:59:30 +0000] "GET /api/api/articles?limit=3&sortBy=createdAt&order=desc HTTP/1.1" 404 155 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Mar/2025:14:59:30 +0000] "GET /api/api/reviews HTTP/1.1" 404 154 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Mar/2025:14:59:30 +0000] "GET /api/api/products?sortBy=createdAt&order=desc&page=1&limit=15 HTTP/1.1" 404 155 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Mar/2025:14:59:46 +0000] "GET /api/products HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Mar/2025:14:59:51 +0000] "GET /api/api/hero-images HTTP/1.1" 404 158 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Mar/2025:14:59:51 +0000] "GET /api/products HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Mar/2025:14:59:51 +0000] "GET /api/api/categories HTTP/1.1" 404 157 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Mar/2025:14:59:51 +0000] "GET /api/api/products?sortBy=createdAt&order=desc&page=1&limit=12 HTTP/1.1" 404 155 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Mar/2025:14:59:51 +0000] "GET /api/api/products HTTP/1.1" 404 155 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Mar/2025:14:59:51 +0000] "GET /api/api/articles?limit=3&sortBy=createdAt&order=desc HTTP/1.1" 404 155 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Mar/2025:14:59:51 +0000] "GET /api/api/reviews HTTP/1.1" 404 154 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Mar/2025:14:59:51 +0000] "GET /api/api/categories HTTP/1.1" 404 157 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Mar/2025:14:59:51 +0000] "GET /api/api/products?sortBy=createdAt&order=desc&page=1&limit=12 HTTP/1.1" 404 155 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Mar/2025:14:59:51 +0000] "GET /api/api/products HTTP/1.1" 404 155 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Mar/2025:14:59:51 +0000] "GET /api/api/articles?limit=3&sortBy=createdAt&order=desc HTTP/1.1" 404 155 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Mar/2025:14:59:51 +0000] "GET /api/api/reviews HTTP/1.1" 404 154 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Mar/2025:14:59:51 +0000] "GET /api/api/products?sortBy=createdAt&order=desc&page=1&limit=15 HTTP/1.1" 404 155 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Mar/2025:15:00:05 +0000] "GET //products HTTP/1.1" 404 148 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Mar/2025:15:00:05 +0000] "GET //api/hero-images HTTP/1.1" 404 155 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Mar/2025:15:00:07 +0000] "GET //products HTTP/1.1" 404 148 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Mar/2025:15:00:07 +0000] "GET //api/hero-images HTTP/1.1" 404 155 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Mar/2025:15:00:17 +0000] "GET /api/api/hero-images HTTP/1.1" 404 158 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Mar/2025:15:00:17 +0000] "GET /api/products HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Mar/2025:15:00:17 +0000] "GET /api/api/categories HTTP/1.1" 404 157 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Mar/2025:15:00:17 +0000] "GET /api/api/products?sortBy=createdAt&order=desc&page=1&limit=12 HTTP/1.1" 404 155 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Mar/2025:15:00:17 +0000] "GET /api/api/products HTTP/1.1" 404 155 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Mar/2025:15:00:17 +0000] "GET /api/api/articles?limit=3&sortBy=createdAt&order=desc HTTP/1.1" 404 155 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Mar/2025:15:00:17 +0000] "GET /api/api/reviews HTTP/1.1" 404 154 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Mar/2025:15:00:17 +0000] "GET /api/api/products?sortBy=createdAt&order=desc&page=1&limit=12 HTTP/1.1" 404 155 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Mar/2025:15:00:17 +0000] "GET /api/api/categories HTTP/1.1" 404 157 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Mar/2025:15:00:17 +0000] "GET /api/api/products HTTP/1.1" 404 155 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Mar/2025:15:00:17 +0000] "GET /api/api/articles?limit=3&sortBy=createdAt&order=desc HTTP/1.1" 404 155 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Mar/2025:15:00:17 +0000] "GET /api/api/reviews HTTP/1.1" 404 154 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Mar/2025:15:00:17 +0000] "GET /api/api/products?sortBy=createdAt&order=desc&page=1&limit=15 HTTP/1.1" 404 155 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Mar/2025:15:00:19 +0000] "GET /api/products HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Mar/2025:15:00:19 +0000] "GET /api/api/hero-images HTTP/1.1" 404 158 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Mar/2025:15:00:19 +0000] "GET /api/api/categories HTTP/1.1" 404 157 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Mar/2025:15:00:19 +0000] "GET /api/api/products?sortBy=createdAt&order=desc&page=1&limit=12 HTTP/1.1" 404 155 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Mar/2025:15:00:19 +0000] "GET /api/api/products HTTP/1.1" 404 155 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Mar/2025:15:00:19 +0000] "GET /api/api/articles?limit=3&sortBy=createdAt&order=desc HTTP/1.1" 404 155 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Mar/2025:15:00:19 +0000] "GET /api/api/reviews HTTP/1.1" 404 154 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Mar/2025:15:00:19 +0000] "GET /api/api/categories HTTP/1.1" 404 157 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Mar/2025:15:00:19 +0000] "GET /api/api/products?sortBy=createdAt&order=desc&page=1&limit=12 HTTP/1.1" 404 155 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Mar/2025:15:00:19 +0000] "GET /api/api/products HTTP/1.1" 404 155 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
